WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
15,12/13,CIN,L13-34,1,1,3,44,14.7,25,0,--,--,--,--,--,--,--,Jason Avant,2012
16,12/23,WAS,L20-27,1,0,8,70,8.8,16,0,--,--,--,--,--,--,--,Jason Avant,2012
17,12/30,@NYG,L7-42,1,1,4,39,9.8,15,0,--,--,--,--,--,--,--,Jason Avant,2012
1,09/11,@STL,W31-13,1,1,3,40,13.3,20,0,--,--,--,--,--,--,--,Jason Avant,2011
2,09/18,@ATL,L31-35,1,1,1,29,29.0,29,0,--,--,--,--,--,--,--,Jason Avant,2011
3,09/25,NYG,L16-29,1,0,4,33,8.3,14,0,--,--,--,--,--,--,--,Jason Avant,2011
4,10/02,SF,L23-24,1,0,6,69,11.5,20,0,--,--,--,--,--,--,--,Jason Avant,2011
5,10/09,@BUF,L24-31,1,1,9,139,15.4,35,0,--,--,--,--,--,1,1,Jason Avant,2011
6,10/16,@WAS,W20-13,1,0,3,28,9.3,18,0,--,--,--,--,--,--,--,Jason Avant,2011
7,Bye,,,,,,,,,,,,,,,,,Jason Avant,2011
8,10/30,DAL,W34-7,1,1,5,74,14.8,24,0,--,--,--,--,--,--,--,Jason Avant,2011
9,11/07,CHI,L24-30,1,0,2,20,10.0,12,0,--,--,--,--,--,--,--,Jason Avant,2011
10,11/13,ARI,L17-21,1,0,1,2,2.0,2,0,--,--,--,--,--,--,--,Jason Avant,2011
11,11/20,@NYG,W17-10,1,1,1,13,13.0,13,0,--,--,--,--,--,--,--,Jason Avant,2011
12,11/27,NE,L20-38,1,0,8,110,13.8,22,1,--,--,--,--,--,--,--,Jason Avant,2011
13,12/01,@SEA,L14-31,1,1,1,10,10.0,10,0,--,--,--,--,--,--,--,Jason Avant,2011
14,12/11,@MIA,W26-10,1,1,2,35,17.5,28,0,--,--,--,--,--,--,--,Jason Avant,2011
15,12/18,NYJ,W45-19,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Jason Avant,2011
16,12/24,@DAL,W20-7,1,0,2,35,17.5,27,0,--,--,--,--,--,1,1,Jason Avant,2011
17,01/01,WAS,W34-10,1,0,4,42,10.5,16,0,--,--,--,--,--,--,--,Jason Avant,2011
1,09/12,GB,L20-27,1,1,4,41,10.3,15,0,--,--,--,--,--,--,--,Jason Avant,2010
2,09/19,@DET,W35-32,1,1,3,33,11.0,18,0,--,--,--,--,--,--,--,Jason Avant,2010
3,09/26,@JAC,W28-3,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Jason Avant,2010
4,10/03,WAS,L12-17,1,0,4,31,7.8,17,0,--,--,--,--,--,--,--,Jason Avant,2010
5,10/10,@SF,W27-24,1,0,2,13,6.5,8,0,--,--,--,--,--,--,--,Jason Avant,2010
6,10/17,ATL,W31-17,1,0,5,62,12.4,21,0,--,--,--,--,--,--,--,Jason Avant,2010
7,10/24,@TEN,L19-37,1,1,6,60,10.0,16,0,--,--,--,--,--,--,--,Jason Avant,2010
8,Bye,,,,,,,,,,,,,,,,,Jason Avant,2010
9,11/07,IND,W26-24,1,0,2,41,20.5,34,0,--,--,--,--,--,--,--,Jason Avant,2010
10,11/15,@WAS,W59-28,1,0,5,76,15.2,27,1,--,--,--,--,--,--,--,Jason Avant,2010
11,11/21,NYG,W27-17,1,0,2,39,19.5,24,0,--,--,--,--,--,--,--,Jason Avant,2010
12,11/28,@CHI,L26-31,1,0,8,83,10.4,22,0,--,--,--,--,--,--,--,Jason Avant,2010
13,12/02,HOU,W34-24,1,0,1,4,4.0,4,0,--,--,--,--,--,--,--,Jason Avant,2010
14,12/12,@DAL,W30-27,1,0,3,18,6.0,13,0,--,--,--,--,--,--,--,Jason Avant,2010
15,12/19,@NYG,W38-31,1,0,3,35,11.7,18,0,--,--,--,--,--,--,--,Jason Avant,2010
16,12/28,MIN,L14-24,1,0,2,16,8.0,10,0,--,--,--,--,--,--,--,Jason Avant,2010
17,01/02,DAL,L13-14,1,0,1,21,21.0,21,0,--,--,--,--,--,--,--,Jason Avant,2010
1,09/13,SEA,W34-31,1,0,3,58,19.3,29,0,--,--,--,--,--,--,--,Stedman Bailey,2015
2,09/20,@WAS,L10-24,1,0,1,0,0.0,0,0,--,--,--,--,--,--,--,Stedman Bailey,2015
3,09/27,PIT,L6-12,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Stedman Bailey,2015
4,10/04,@ARI,W24-22,1,1,2,30,15.0,18T,1,--,--,--,--,--,--,--,Stedman Bailey,2015
5,10/11,@GB,L10-24,1,0,3,73,24.3,68,0,--,--,--,--,--,--,--,Stedman Bailey,2015
6,Bye,,,,,,,,,,,,,,,,,Stedman Bailey,2015
7,10/25,CLE,W24-6,1,1,1,8,8.0,8,0,--,--,--,--,--,--,--,Stedman Bailey,2015
8,11/01,SF,W27-6,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Stedman Bailey,2015
9,11/08,@MIN,L18-21,1,0,2,13,6.5,10,0,--,--,--,--,--,--,--,Stedman Bailey,2015
3,09/21,DAL,L31-34,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2014
4,Bye,,,,,,,,,,,,,,,,,Stedman Bailey,2014
5,10/05,@PHI,L28-34,1,0,2,20,10.0,14,0,--,--,--,--,--,--,--,Stedman Bailey,2014
6,10/13,SF,L17-31,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Stedman Bailey,2014
7,10/19,SEA,W28-26,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2014
8,10/26,@KC,L7-34,1,0,2,33,16.5,20,0,--,--,--,--,--,--,--,Stedman Bailey,2014
9,11/02,@SF,W13-10,1,0,1,7,7.0,7,0,--,--,--,--,--,--,--,Stedman Bailey,2014
10,11/09,@ARI,L14-31,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Stedman Bailey,2014
11,11/16,DEN,W22-7,1,0,3,26,8.7,10,0,--,--,--,--,--,--,--,Stedman Bailey,2014
12,11/23,@SD,L24-27,1,0,7,89,12.7,22,1,--,--,--,--,--,--,--,Stedman Bailey,2014
13,11/30,OAK,W52-0,1,1,5,100,20.0,34,0,--,--,--,--,--,--,--,Stedman Bailey,2014
14,12/07,@WAS,W24-0,1,0,2,47,23.5,36,0,--,--,--,--,--,--,--,Stedman Bailey,2014
15,12/11,ARI,L6-12,1,0,5,74,14.8,38,0,1,13,13.0,13,0,--,--,Stedman Bailey,2014
16,12/21,NYG,L27-37,1,1,2,22,11.0,17,0,--,--,--,--,--,--,--,Stedman Bailey,2014
17,12/28,@SEA,L6-20,1,0,1,17,17.0,17,0,--,--,--,--,--,--,--,Stedman Bailey,2014
1,09/08,ARI,W27-24,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
2,09/15,@ATL,L24-31,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
3,09/22,@DAL,L7-31,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Stedman Bailey,2013
4,09/26,SF,L11-35,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
5,10/06,JAC,W34-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
6,10/13,@HOU,W38-13,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
7,10/20,@CAR,L15-30,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
8,10/28,SEA,L9-14,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
9,11/03,TEN,L21-28,1,0,1,12,12.0,12,0,--,--,--,--,--,--,--,Stedman Bailey,2013
10,11/10,@IND,W38-8,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Stedman Bailey,2013
11,Bye,,,,,,,,,,,,,,,,,Stedman Bailey,2013
12,11/24,CHI,W42-21,1,0,1,19,19.0,19,0,--,--,--,--,--,--,--,Stedman Bailey,2013
13,12/01,@SF,L13-23,1,0,3,46,15.3,17,0,--,--,--,--,--,--,--,Stedman Bailey,2013
