"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Leonte Carroo",3200,"Mia@NE 01:00PM ET",3.400,"Mia"
"WR","Adam Thielen",3200,"GB@Min 08:30PM ET",9.400,"Min"
"DST","Bills ",3100,"NYJ@Buf 08:25PM ET",10.000,"Buf"
"WR","Harry Douglas",3100,"Ten@Det 01:00PM ET",4.100,"Ten"
"WR","Andrew Hawkins",3100,"Bal@Cle 01:00PM ET",-0.100,"Cle"
"TE","Kyle Rudolph",3100,"GB@Min 08:30PM ET",10.500,"Min"
"RB","Denard Robinson",3100,"Jax@SD 04:25PM ET",0.700,"Jax"
"RB","Jamize Olawale",3100,"Atl@Oak 04:25PM ET",6.200,"Oak"
"RB","Ka'Deem Carey",3100,"Phi@Chi 08:30PM ET",0.400,"Chi"
"RB","Javorius Allen",3100,"Bal@Cle 01:00PM ET",0,"Bal"
"WR","Marqise Lee",3100,"Jax@SD 04:25PM ET",4.200,"Jax"
"WR","Adam Humphries",3100,"TB@Ari 04:05PM ET",7.100,"TB"
"WR","Rashad Greene",3100,"Jax@SD 04:25PM ET",1.900,"Jax"
"DST","Patriots ",3000,"Mia@NE 01:00PM ET",3.000,"NE"
"DST","Ravens ",3000,"Bal@Cle 01:00PM ET",6.000,"Bal"
"WR","Devin Hester",3000,"Bal@Cle 01:00PM ET",0.000,"Bal"
"WR","Eric Weems",3000,"Atl@Oak 04:25PM ET",0.000,"Atl"
"WR","Matthew Slater",3000,"Mia@NE 01:00PM ET",0.000,"NE"
"TE","Zach Miller",3000,"Phi@Chi 08:30PM ET",4.400,"Chi"
"RB","Mike Tolbert",3000,"SF@Car 01:00PM ET",1.700,"Car"
"RB","John Kuhn",3000,"NO@NYG 01:00PM ET",0.400,"NO"
"WR","Brandon Tate",3000,"NYJ@Buf 08:25PM ET",0.000,"Buf"
"TE","Jared Cook",3000,"GB@Min 08:30PM ET",1.700,"GB"
"WR","Jordan Norwood",3000,"Ind@Den 04:25PM ET",0.000,"Den"
"WR","Greg Salas",3000,"NYJ@Buf 08:25PM ET",0.000,"Buf"
"WR","Marc Mariani",3000,"Ten@Det 01:00PM ET",0.000,"Ten"
"WR","Bryan Walters",3000,"Jax@SD 04:25PM ET",0,"Jax"
"WR","Andre Roberts",3000,"Ten@Det 01:00PM ET",1.800,"Det"
"RB","Chase Reynolds",3000,"Sea@LA 04:05PM ET",0.000,"LA"
"RB","C.J. Spiller",3000,"NO@NYG 01:00PM ET",0,"NO"
"RB","James Develin",3000,"Mia@NE 01:00PM ET",0.000,"NE"
"RB","Fozzy Whittaker",3000,"SF@Car 01:00PM ET",2.700,"Car"
"WR","Arrelious Benn",3000,"Jax@SD 04:25PM ET",0.000,"Jax"
"RB","Matt Asiata",3000,"GB@Min 08:30PM ET",1.300,"Min"
"RB","Taiwan Jones",3000,"Atl@Oak 04:25PM ET",2.900,"Oak"
"WR","Charles Johnson",3000,"GB@Min 08:30PM ET",1.500,"Min"
"RB","DuJuan Harris",3000,"SF@Car 01:00PM ET",0,"SF"
"WR","Deonte Thompson",3000,"Phi@Chi 08:30PM ET",0.000,"Chi"
"WR","Jeremy Kerley",3000,"SF@Car 01:00PM ET",13.100,"SF"
"RB","Travaris Cadet",3000,"NO@NYG 01:00PM ET",10.500,"NO"
"RB","Anthony Sherman",3000,"KC@Hou 01:00PM ET",0.000,"KC"
"WR","Aldrick Robinson",3000,"Atl@Oak 04:25PM ET",0.000,"Atl"
"RB","Robert Turbin",3000,"Ind@Den 04:25PM ET",3.900,"Ind"
"RB","Bobby Rainey",3000,"NO@NYG 01:00PM ET",0.000,"NYG"
"RB","Patrick DiMarco",3000,"Atl@Oak 04:25PM ET",1.800,"Atl"
"RB","Isaiah Pead",3000,"Mia@NE 01:00PM ET",0,"Mia"
"WR","Tavarres King",3000,"NO@NYG 01:00PM ET",0,"NYG"
"RB","Kenjon Barner",3000,"Phi@Chi 08:30PM ET",4.200,"Phi"
"WR","Brice Butler",3000,"Dal@Was 01:00PM ET",2.600,"Dal"
"WR","Kendall Wright",3000,"Ten@Det 01:00PM ET",0,"Ten"
"RB","Zach Line",3000,"GB@Min 08:30PM ET",0.000,"Min"
"WR","Brenton Bersin",3000,"SF@Car 01:00PM ET",0,"Car"
"RB","Jonathan Grimes",3000,"KC@Hou 01:00PM ET",0.000,"Hou"
"RB","Jordan Todman",3000,"Ind@Den 04:25PM ET",0.000,"Ind"
"WR","Jarius Wright",3000,"GB@Min 08:30PM ET",0,"Min"
"RB","Brandon Bolden",3000,"Mia@NE 01:00PM ET",0.400,"NE"
"RB","Lance Dunbar",3000,"Dal@Was 01:00PM ET",2.600,"Dal"
"WR","Russell Shepard",3000,"TB@Ari 04:05PM ET",0.900,"TB"
"TE","Vance McDonald",3000,"SF@Car 01:00PM ET",9.400,"SF"
"RB","Knile Davis",3000,"KC@Hou 01:00PM ET",0.000,"KC"
"WR","Ryan Grant",3000,"Dal@Was 01:00PM ET",0.000,"Was"
"RB","Rex Burkhead",3000,"Cin@Pit 01:00PM ET",0.000,"Cin"
"RB","Kyle Juszczyk",3000,"Bal@Cle 01:00PM ET",4.300,"Bal"
"RB","Stepfan Taylor",3000,"TB@Ari 04:05PM ET",0,"Ari"
"WR","Marquise Goodwin",3000,"NYJ@Buf 08:25PM ET",0.000,"Buf"
"WR","Bennie Fowler",3000,"Ind@Den 04:25PM ET",0,"Den"
"WR","Jared Abbrederis",3000,"GB@Min 08:30PM ET",1.800,"GB"
"WR","James Wright",3000,"Cin@Pit 01:00PM ET",1.100,"Cin"
"WR","Justin Hunter",3000,"Mia@NE 01:00PM ET",0.000,"Mia"
"RB","Jay Prosch",3000,"KC@Hou 01:00PM ET",0.200,"Hou"
"RB","Jalston Fowler",3000,"Ten@Det 01:00PM ET",0.000,"Ten"
"RB","Orleans Darkwa",3000,"NO@NYG 01:00PM ET",0.000,"NYG"
"RB","Roosevelt Nix",3000,"Cin@Pit 01:00PM ET",0,"Pit"
"WR","Rod Streater",3000,"SF@Car 01:00PM ET",0.000,"SF"
